                  Temp     Hi    Low   Out    Dew  Wind  Wind  Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar    Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir   Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
12/31/20  4:25a   27.9   28.1   27.9    57   14.6   0.0   WNW  0.00   2.0   WNW   27.9   27.2   27.2   23.6   827.3  0.00  0.00     0     0.00      0     0.129   0.000   68.4    12   13.7   62.7   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  4:30a   27.7   27.9   27.6    57   14.4   0.0   ---  0.00   0.0   ---   27.7   27.0   27.0   23.4   827.4  0.00  0.00     0     0.00      0     0.130   0.000   68.5    12   13.8   62.9   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  4:35a   27.6   27.6   27.6    57   14.3   0.0   WNW  0.00   2.0   WNW   27.6   26.9   26.9   23.3   827.4  0.00  0.00     0     0.00      0     0.130   0.000   68.5    12   13.8   62.9   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  4:40a   27.3   27.6   27.3    57   14.1   1.0   WNW  0.08   2.0   WNW   27.3   26.6   26.6   23.0   827.3  0.00  0.00     0     0.00      0     0.131   0.000   68.7    12   14.0   63.1   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  4:45a   27.2   27.3   27.2    57   14.0   0.0   ---  0.00   0.0   ---   27.2   26.5   26.5   22.9   827.3  0.00  0.00     0     0.00      0     0.131   0.000   68.9    12   14.1   63.4   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  4:50a   27.2   27.3   27.2    57   14.0   0.0   WNW  0.00   3.0   WNW   27.2   26.5   26.5   22.9   827.4  0.00  0.00     0     0.00      0     0.131   0.000   68.9    12   14.1   63.4   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  4:55a   27.4   27.4   27.2    58   14.5   0.0   WNW  0.00   2.0   WNW   27.4   26.8   26.8   23.2   827.5  0.00  0.00     0     0.00      0     0.131   0.000   68.9    12   14.1   63.4   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  5:00a   27.4   27.4   27.4    58   14.5   0.0   ---  0.00   0.0   ---   27.4   26.8   26.8   23.2   827.5  0.00  0.00     0     0.00      0     0.131   0.000   68.5    12   13.8   62.9   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  5:05a   27.4   27.4   27.4    58   14.5   0.0   ---  0.00   0.0   ---   27.4   26.8   26.8   23.2   827.5  0.00  0.00     0     0.00      0     0.131   0.000   68.4    12   13.7   62.7   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  5:10a   27.3   27.4   27.2    59   14.8   0.0   ---  0.00   0.0   ---   27.3   26.7   26.7   23.1   827.6  0.00  0.00     0     0.00      0     0.131   0.000   68.5    12   13.8   62.9   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  5:15a   27.4   27.4   27.3    58   14.5   0.0   ---  0.00   0.0   ---   27.4   26.8   26.8   23.2   827.4  0.00  0.00     0     0.00      0     0.131   0.000   68.5    12   13.8   62.9   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  5:20a   27.4   27.4   27.3    59   14.9   0.0   ---  0.00   0.0   ---   27.4   26.8   26.8   23.2   827.7  0.00  0.00     0     0.00      0     0.131   0.000   68.7    12   14.0   63.1   2.95  .0611    0.000   118    1    100.0    5 
12/31/20  5:25a   27.4   27.4   27.3    59   14.9   0.0   ---  0.00   0.0   ---   27.4   26.8   26.8   23.2   827.5  0.00  0.00     0     0.00      0     0.131   0.000   68.9    12   14.1   63.4   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  5:30a   27.5   27.5   27.4    58   14.6   0.0   WNW  0.00   3.0   WNW   27.5   26.9   26.9   23.3   827.6  0.00  0.00     0     0.00      0     0.130   0.000   68.7    12   14.0   63.1   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  5:35a   27.8   27.8   27.6    58   14.9   0.0   WNW  0.00   2.0   WNW   27.8   27.2   27.2   23.6   827.6  0.00  0.00     0     0.00      0     0.129   0.000   68.4    12   13.7   62.7   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  5:40a   27.7   27.8   27.6    58   14.8   0.0   WNW  0.00   1.0   WNW   27.7   27.1   27.1   23.5   827.7  0.00  0.00     0     0.00      0     0.130   0.000   68.2    12   13.6   62.5   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  5:45a   27.5   27.6   27.5    58   14.6   0.0   ---  0.00   0.0   ---   27.5   26.9   26.9   23.3   827.7  0.00  0.00     0     0.00      0     0.130   0.000   68.4    12   13.7   62.7   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  5:50a   27.5   27.5   27.4    59   15.0   0.0   ---  0.00   0.0   ---   27.5   26.9   26.9   23.4   827.7  0.00  0.00     0     0.00      0     0.130   0.000   68.7    12   14.0   63.1   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  5:55a   27.4   27.5   27.4    59   14.9   1.0   WNW  0.08   4.0   WNW   27.4   26.8   26.8   23.2   827.6  0.00  0.00     0     0.00      0     0.131   0.000   68.7    12   14.0   63.1   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  6:00a   27.2   27.4   27.2    60   15.1   0.0   WNW  0.00   3.0   WNW   27.2   26.6   26.6   23.1   827.7  0.00  0.00     0     0.00      0     0.131   0.000   68.4    12   13.7   62.7   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  6:05a   27.1   27.2   27.1    60   15.0   0.0   WNW  0.00   2.0   WNW   27.1   26.5   26.5   23.0   827.6  0.00  0.00     0     0.00      0     0.132   0.000   68.2    12   13.6   62.5   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  6:10a   27.0   27.1   27.0    59   14.6   0.0   ---  0.00   0.0   ---   27.0   26.4   26.4   22.8   827.7  0.00  0.00     0     0.00      0     0.132   0.000   68.2    12   13.6   62.5   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  6:15a   27.2   27.2   27.0    58   14.4   0.0   WNW  0.00   2.0   WNW   27.2   26.6   26.6   23.0   827.7  0.00  0.00     0     0.00      0     0.131   0.000   68.4    12   13.7   62.7   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  6:20a   27.3   27.3   27.2    57   14.1   1.0   WNW  0.08   2.0   WNW   27.3   26.6   26.6   23.0   827.6  0.00  0.00     0     0.00      0     0.131   0.000   68.5    12   13.8   62.9   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  6:25a   27.5   27.5   27.3    57   14.2   2.0   WNW  0.17   4.0   WNW   26.0   26.8   25.3   21.7   827.7  0.00  0.00     0     0.00      0     0.130   0.000   68.4    12   13.7   62.7   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  6:30a   27.7   27.7   27.4    57   14.4   2.0     W  0.17   4.0     W   26.2   27.0   25.5   21.9   827.6  0.00  0.00     0     0.00      0     0.130   0.000   68.0    12   13.4   62.2   2.95  .0612    0.000   118    1    100.0    5 
12/31/20  6:35a   28.3   28.3   27.7    55   14.2   2.0     W  0.17   4.0     W   26.9   27.6   26.2   22.6   827.7  0.00  0.00     0     0.00      0     0.127   0.000   68.0    12   13.4   62.2   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  6:40a   28.9   28.9   28.3    54   14.3   3.0     W  0.25   7.0     W   25.8   28.2   25.1   21.5   827.7  0.00  0.00     0     0.00      0     0.125   0.000   68.2    12   13.6   62.5   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  6:45a   29.5   29.5   28.9    52   14.0   3.0   WNW  0.25   6.0   WNW   26.5   28.7   25.7   22.1   827.7  0.00  0.00     0     0.00      0     0.123   0.000   68.4    12   13.7   62.7   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  6:50a   29.8   29.8   29.5    51   13.9   1.0    NW  0.08   3.0    NW   29.8   29.0   29.0   25.4   827.6  0.00  0.00     0     0.00      0     0.122   0.000   68.5    12   13.8   62.9   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  6:55a   29.7   29.9   29.7    51   13.8   0.0   ---  0.00   0.0   ---   29.7   28.9   28.9   25.3   827.6  0.00  0.00     0     0.00      0     0.123   0.000   68.5    12   13.8   62.9   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  7:00a   29.3   29.7   29.3    52   13.8   0.0   ---  0.00   0.0   ---   29.3   28.5   28.5   24.9   827.8  0.00  0.00     0     0.00      0     0.124   0.000   68.2    12   13.6   62.5   2.95  .0612    0.000   117    1    100.0    5 
